[06:30:01] === Daily ETL start ===
[06:43:12] [AMZZ  AMZZ] upserts: 1
[06:43:12] [AN  AN] upserts: 1
[06:43:12] [ANET  ANET] upserts: 1
[06:43:12] [ANF  ANF] upserts: 1
[06:43:12] [ANGI  ANGI] upserts: 1
[06:43:12] [ANGL  ANGL] upserts: 1
[06:43:12] [ANIP  ANIP] upserts: 1
[06:43:12] [AOA  AOA] upserts: 1
[06:43:12] [AOK  AOK] upserts: 1
[06:43:12] [AOM  AOM] upserts: 1
[06:43:12] [AOMR  AOMR] upserts: 1
[06:43:12] [AON  AON] upserts: 1
[06:43:12] [AOR  AOR] upserts: 1
[06:43:12] [AOS  AOS] upserts: 1
[06:43:12] [AOSL  AOSL] upserts: 1
[06:43:12] [APA  APA] upserts: 1
[06:43:12] [APD  APD] upserts: 1
[06:43:12] [APG  APG] upserts: 1
[06:43:12] [APH  APH] upserts: 1
[06:43:12] [APLD  APLD] upserts: 1
[06:43:12] [APLE  APLE] upserts: 1
[06:43:12] [APLS  APLS] upserts: 1
[06:43:12] [APLY  APLY] upserts: 1
[06:43:12] [APO  APO] upserts: 1
[06:43:12] [APP  APP] upserts: 1
[06:43:12] [APPF  APPF] upserts: 1
[06:43:12] [APPS  APPS] upserts: 1
[06:43:12] [APTV  APTV] upserts: 1
[06:43:12] [AQB  AQB] upserts: 1
[06:43:12] [AQLT  AQLT] upserts: 1
[06:43:12] [AQN  AQN] upserts: 1
[06:43:12] [AR  AR] upserts: 1
[06:43:12] [ARCC  ARCC] upserts: 1
[06:43:12] [ARCO  ARCO] upserts: 1
[06:43:12] [ARE  ARE] upserts: 1
[06:43:12] [ARES  ARES] upserts: 1
[06:43:12] [ARGT  ARGT] upserts: 1
[06:43:12] [ARGX  ARGX] upserts: 1
[06:43:12] [ARHS  ARHS] upserts: 1
[06:43:12] [ARIS  ARIS] upserts: 1
[06:43:12] [ARKB  ARKB] upserts: 1
[06:43:12] [ARKF  ARKF] upserts: 1
[06:43:12] [ARKG  ARKG] upserts: 1
[06:43:12] [ARKK  ARKK] upserts: 1
[06:43:12] [ARKQ  ARKQ] upserts: 1
[06:43:12] [ARKW  ARKW] upserts: 1
[06:43:12] [ARKX  ARKX] upserts: 1
[06:43:12] [ARM  ARM] upserts: 1
[06:43:12] [AROC  AROC] upserts: 1
[06:43:12] [ARR  ARR] upserts: 1
[06:43:12] [ARRY  ARRY] upserts: 1
[06:43:12] [ARTY  ARTY] upserts: 1
[06:43:12] [ASA  ASA] upserts: 1
[06:43:12] [ASAN  ASAN] upserts: 1
[06:43:12] [ASML  ASML] upserts: 1
[06:43:12] [ASND  ASND] upserts: 1
[06:43:12] [ASO  ASO] upserts: 1
[06:43:12] [ASPN  ASPN] upserts: 1
[06:43:12] [ASR  ASR] upserts: 1
[06:43:12] [ASRT  ASRT] upserts: 1
[06:43:12] [ASTS  ASTS] upserts: 1
[06:43:12] [ASUR  ASUR] upserts: 1
[06:43:12] [ASX  ASX] upserts: 1
[06:43:12] [ATEC  ATEC] upserts: 1
[06:43:12] [ATER  ATER] upserts: 1
[06:43:12] [ATEX  ATEX] upserts: 1
[06:43:12] [ATHM  ATHM] upserts: 1
[06:43:12] [ATI  ATI] upserts: 1
[06:43:12] [ATKR  ATKR] upserts: 1
[06:43:12] [ATO  ATO] upserts: 1
[06:43:12] [ATRO  ATRO] upserts: 1
[06:43:12] [AU  AU] upserts: 1
[06:43:12] [AUNA  AUNA] upserts: 1
[06:43:12] [AVAL  AVAL] upserts: 1
[06:43:12] [AVAV  AVAV] upserts: 1
[06:43:12] [AVDV  AVDV] upserts: 1
[06:43:12] [AVES  AVES] upserts: 1
[06:43:12] [AVGO  AVGO] upserts: 1
[06:43:12] [AVMC  AVMC] upserts: 1
[06:43:12] [AVNW  AVNW] upserts: 1
[06:43:12] [AVO  AVO] upserts: 1
[06:43:12] [AVT  AVT] upserts: 1
[06:43:12] [AVTR  AVTR] upserts: 1
[06:43:12] [AVUV  AVUV] upserts: 1
[06:43:12] [AVY  AVY] upserts: 1
[06:43:12] [AWAY  AWAY] upserts: 1
[06:43:12] [AWK  AWK] upserts: 1
[06:43:12] [AWR  AWR] upserts: 1
[06:43:12] [AX  AX] upserts: 1
[06:43:12] [AXON  AXON] upserts: 1
[06:43:12] [AXP  AXP] upserts: 1
[06:43:12] [AXSM  AXSM] upserts: 1
[06:43:12] [AZN  AZN] upserts: 1
[06:43:12] [AZO  AZO] upserts: 1
[06:43:12] [B  B] upserts: 1
[06:43:12] [BA  BA] upserts: 1
[06:43:12] [BABA  BABA] upserts: 1
[06:43:12] [BAC  BAC] upserts: 1
[06:43:12] [BAH  BAH] upserts: 1
[06:43:12] [BALI  BALI] upserts: 1
[06:43:12] [BAM  BAM] upserts: 1
[06:43:12] [BANC  BANC] upserts: 1
[06:43:12] [BAP  BAP] upserts: 1
[06:43:12] [BATT  BATT] upserts: 1
[06:43:12] [BAX  BAX] upserts: 1
[06:43:12] [BB  BB] upserts: 1
[06:43:12] [BBAI  BBAI] upserts: 1
[06:43:12] [BBAX  BBAX] upserts: 1
[06:43:12] [BBCA  BBCA] upserts: 1
[06:43:12] [BBD  BBD] upserts: 1
[06:43:12] [BBDC  BBDC] upserts: 1
[06:43:12] [BBEU  BBEU] upserts: 1
[06:43:12] [BBH  BBH] upserts: 1
[06:43:12] [BBIN  BBIN] upserts: 1
[06:43:12] [BBJP  BBJP] upserts: 1
[06:43:12] [BBNX  BBNX] upserts: 1
[06:43:12] [BBVA  BBVA] upserts: 1
[06:43:12] [BBY  BBY] upserts: 1
[06:43:12] [BC  BC] upserts: 1
[06:43:12] [BCC  BCC] upserts: 1
[06:43:12] [BCH  BCH] upserts: 1
[06:43:12] [BCS  BCS] upserts: 1
[06:43:12] [BDJ  BDJ] upserts: 1
[06:43:12] [BDN  BDN] upserts: 1
[06:43:12] [BDX  BDX] upserts: 1
[06:43:12] [BE  BE] upserts: 1
[06:43:12] [BEAM  BEAM] upserts: 1
[06:43:12] [BEKE  BEKE] upserts: 1
[06:43:12] [BELFB  BELFB] upserts: 1
[06:43:12] [BELT  BELT] upserts: 1
[06:43:12] [BEN  BEN] upserts: 1
[06:43:12] [BEP  BEP] upserts: 1
[06:43:12] [BETR  BETR] upserts: 1
[06:43:12] [BF-B  BF-B] upserts: 1
[06:43:12] [BFH  BFH] upserts: 1
[06:43:12] [BFLY  BFLY] upserts: 1
[06:43:12] [BGMS  BGMS] upserts: 1
[06:43:12] [BGRO  BGRO] upserts: 1
[06:43:12] [BHB  BHB] upserts: 1
[06:43:12] [BHC  BHC] upserts: 1
[06:43:12] [BHP  BHP] upserts: 1
[06:43:12] [BIB  BIB] upserts: 1
[06:43:12] [BIBL  BIBL] upserts: 1
[06:43:12] [BIDU  BIDU] upserts: 1
[06:43:12] [BIIB  BIIB] upserts: 1
[06:43:12] [BIL  BIL] upserts: 1
[06:43:12] [BILI  BILI] upserts: 1
[06:43:12] [BILL  BILL] upserts: 1
[06:43:12] [BINC  BINC] upserts: 1
[06:43:12] [BINI  BINI] upserts: 1
[06:43:12] [BIO  BIO] upserts: 1
[06:43:12] [BIP  BIP] upserts: 1
[06:43:12] [BIPC  BIPC] upserts: 1
[06:43:12] [BIRD  BIRD] upserts: 1
[06:43:12] [BIRK  BIRK] upserts: 1
[06:43:12] [BITB  BITB] upserts: 1
[06:43:12] [BITC  BITC] upserts: 1
[06:43:12] [BITF  BITF] upserts: 1
[06:43:12] [BITI  BITI] upserts: 1
[06:43:12] [BITO  BITO] upserts: 1
[06:43:12] [BITW  BITW] upserts: 1
[06:43:12] [BITX  BITX] upserts: 1
[06:43:12] [BIV  BIV] upserts: 1
[06:43:12] [BIZD  BIZD] upserts: 1
[06:43:12] [BJ  BJ] upserts: 1
[06:43:12] [BJDX  BJDX] upserts: 1
[06:43:12] [BK  BK] upserts: 1
[06:43:12] [BKE  BKE] upserts: 1
[06:43:12] [BKF  BKF] upserts: 1
[06:43:12] [BKH  BKH] upserts: 1
[06:43:12] [BKLN  BKLN] upserts: 1
[06:43:12] [BKNG  BKNG] upserts: 1
[06:43:12] [BKR  BKR] upserts: 1
[06:43:12] [BKSY  BKSY] upserts: 1
[06:43:12] [BKU  BKU] upserts: 1
[06:43:12] [BLBD  BLBD] upserts: 1
[06:43:12] [BLCN  BLCN] upserts: 1
[06:43:12] [BLCO  BLCO] upserts: 1
[06:43:12] [BLCV  BLCV] upserts: 1
[06:43:12] [BLDP  BLDP] upserts: 1
[06:43:12] [BLDR  BLDR] upserts: 1
[06:43:12] [BLK  BLK] upserts: 1
[06:43:12] [BLNK  BLNK] upserts: 1
[06:43:12] [BLOK  BLOK] upserts: 1
[06:43:12] [BLTE  BLTE] upserts: 1
[06:43:12] [BLV  BLV] upserts: 1
[06:43:12] [BLX  BLX] upserts: 1
[06:43:12] [BLZE  BLZE] upserts: 1
[06:43:12] [BMA  BMA] upserts: 1
[06:43:12] [BMBL  BMBL] upserts: 1
[06:43:12] [BME  BME] upserts: 1
[06:43:12] [BMI  BMI] upserts: 1
[06:43:12] [BMNR  BMNR] upserts: 1
[06:43:12] [BMO  BMO] upserts: 1
[06:43:12] [BMRN  BMRN] upserts: 1
[06:43:12] [BMY  BMY] upserts: 1
[06:43:12] [BN  BN] upserts: 1
[06:43:12] [BND  BND] upserts: 1
[06:43:12] [BNDW  BNDW] upserts: 1
[06:43:12] [BNDX  BNDX] upserts: 1
[06:43:12] [BNED  BNED] upserts: 1
[06:43:12] [BNO  BNO] upserts: 1
[06:43:12] [BNS  BNS] upserts: 1
[06:43:12] [BNTX  BNTX] upserts: 1
